item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,active_value,source_family,priority_score,suggested_wave,operator_hint,priority_reasons,choice_count,choices_preview
337,olho,око,noun,build:pilot_ptpt_001_pilot_safe,2K,1251,1,pilot_safe,160,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|odd_short_translation|noun_short_answer|freq<=2k,6,око || гостиница || обмен || память || отчёт || мусор
58,mundo,мир,noun,build:pilot_ptpt_001_pilot_safe,1K,81,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,мир || регион || континент || пространство || территория || район
71,tipo,тип,noun,build:pilot_ptpt_001_pilot_safe,1K,192,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,тип || страна || место || семья || президент || истина
81,jogo,игра,noun,build:pilot_ptpt_001_pilot_safe,1K,233,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,правительство || отец || музыка || мужчина || сделка || игра
83,pai,отец,noun,build:pilot_ptpt_001_pilot_safe,1K,240,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,правительство || мужчина || музыка || номер || вода || отец
95,sul,юг,noun,build:pilot_ptpt_001_pilot_safe,1K,291,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,закон || война || юг || зло || площадь || проект
123,mão,рука,noun,build:pilot_ptpt_001_pilot_safe,1K,451,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,производство || поле || общество || воспитание || рука || бумага
125,paz,мир,noun,build:pilot_ptpt_001_pilot_safe,1K,453,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,воспитание || мир || общество || перо || поле || господин
163,visto,виза,noun,build:pilot_ptpt_001_pilot_safe,1K,623,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,виза || игра || правительство || отец || мужчина || музыка
178,sexo,пол,noun,build:pilot_ptpt_001_pilot_safe,1K,678,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,воля || искусство || защита || испытание || пол || эпоха
191,boca,рот,noun,build:pilot_ptpt_001_pilot_safe,1K,735,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,рот || пламя || соль || ответ || республика || базар
265,preço,цена,noun,build:pilot_ptpt_001_pilot_safe,1K,996,1,pilot_safe,150,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:1K|short_correct|noun_short_answer|freq<=1k,6,кровать || качество || переезд || цена || муниципалитет || разрешение
270,esposa,жена,noun,build:pilot_ptpt_001_pilot_safe,2K,1010,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,разговор || жена || остров || день рождения || левый || девочка
285,sonho,сон,noun,build:pilot_ptpt_001_pilot_safe,2K,1058,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,восток || воссоединение || носок || парк || перевозка || сон
332,bola,мяч,noun,build:pilot_ptpt_001_pilot_safe,2K,1235,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,площадь || память || гостиница || мяч || королева || мусор
361,espécie,вид,noun,build:pilot_ptpt_001_pilot_safe,2K,1334,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,ключ || компьютер || эпизод || категория || вид || расстояние
377,batalha,бой,noun,build:pilot_ptpt_001_pilot_safe,2K,1382,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,бой || количество || торговля || раствор || адвокат || костюм
385,teste,тест,noun,build:pilot_ptpt_001_pilot_safe,2K,1412,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,страхование || брутальность || физика || помилование || тишина || тест
414,peso,вес,noun,build:pilot_ptpt_001_pilot_safe,2K,1549,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,вес || участник || роза || концепт || журналист || дождь
434,lua,луна,noun,build:pilot_ptpt_001_pilot_safe,2K,1619,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,луна || падение || переворот || крест || сопротивление || сектор
467,posto,азс,noun,build:pilot_ptpt_001_pilot_safe,2K,1722,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,мышление || спина || pаспределение || набла || молоко || азс
491,cadeia,цепь,noun,build:pilot_ptpt_001_pilot_safe,2K,1838,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,финиш || почитание || жара || цепь || обед || географическая карта
497,ponte,мост,noun,build:pilot_ptpt_001_pilot_safe,2K,1859,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,почитание || продукция || географическая карта || мост || медицина || финиш
535,leão,лев,noun,build:pilot_ptpt_001_pilot_safe,2K,1981,1,pilot_safe,145,wave_a_pilot_safe_1k2k,review_pack_or_deactivate,pilot_safe|hot_bin:2K|short_correct|noun_short_answer|freq<=2k,6,кадр || звезда || обсуждение || лев || независимость || молния
82,governo,правительство,noun,build:pilot_ptpt_001_pilot_safe,1K,238,1,pilot_safe,115,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:1K|freq<=1k,6,страна || вода || мужчина || музыка || правительство || отец
127,produção,производство,noun,build:pilot_ptpt_001_pilot_safe,1K,471,1,pilot_safe,115,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:1K|freq<=1k,6,воспитание || производство || господин || перо || поле || надёжность
264,município,муниципалитет,noun,build:pilot_ptpt_001_pilot_safe,1K,992,1,pilot_safe,115,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:1K|freq<=1k,6,качество || кровать || цена || переезд || разрешение || муниципалитет
284,reunião,воссоединение,noun,build:pilot_ptpt_001_pilot_safe,2K,1057,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,парк || сон || перевозка || носок || воссоединение || восток
359,distância,расстояние,noun,build:pilot_ptpt_001_pilot_safe,2K,1332,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,эпизод || категория || расстояние || компьютер || вид || ключ
382,graça,помилование,noun,build:pilot_ptpt_001_pilot_safe,2K,1400,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,тест || тишина || ru || физика || страхование || помилование
387,violência,брутальность,noun,build:pilot_ptpt_001_pilot_safe,2K,1414,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,страхование || физика || тест || помилование || тишина || брутальность
436,resistência,сопротивление,noun,build:pilot_ptpt_001_pilot_safe,2K,1626,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,сектор || луна || переворот || сопротивление || чемпион || падение
479,década,десятилетие,noun,build:pilot_ptpt_001_pilot_safe,2K,1775,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,машина || газ || десятилетие || принцесса || путч || объём
534,independência,независимость,noun,build:pilot_ptpt_001_pilot_safe,2K,1980,1,pilot_safe,110,wave_a_pilot_safe_1k2k,review_pack,pilot_safe|hot_bin:2K|freq<=2k,6,лев || кадр || молния || независимость || обсуждение || звезда
