external_key,lemma,pos,level,freq_rank,ru_gloss,notes
kaikki-adjective-melhor,melhor,adjective,,95,лучший,kaikki_pt_ru_adjadv_seed
kaikki-adjective-grande,grande,adjective,,100,большой,kaikki_pt_ru_adjadv_seed
kaikki-adjective-novo,novo,adjective,,136,новый,kaikki_pt_ru_adjadv_seed
kaikki-adjective-importante,importante,adjective,,316,важный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-feito,feito,adjective,,328,сделанный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-cinco,cinco,adjective,,373,пять,kaikki_pt_ru_adjadv_seed
kaikki-adjective-feliz,feliz,adjective,,406,счастливый,kaikki_pt_ru_adjadv_seed
kaikki-adjective-especial,especial,adjective,,426,особый,kaikki_pt_ru_adjadv_seed
kaikki-adjective-pessoal,pessoal,adjective,,445,особенный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-real,real,adjective,,454,верный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-último,último,adjective,,456,последний,kaikki_pt_ru_adjadv_seed
kaikki-adjective-fácil,fácil,adjective,,464,лёгкий,kaikki_pt_ru_adjadv_seed
kaikki-adjective-legal,legal,adjective,,478,законный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-alto,alto,adjective,,516,высокий,kaikki_pt_ru_adjadv_seed
kaikki-adjective-junto,junto,adjective,,521,вместе,kaikki_pt_ru_adjadv_seed
kaikki-adjective-jovem,jovem,adjective,,534,молодой,kaikki_pt_ru_adjadv_seed
kaikki-adjective-livre,livre,adjective,,535,свободный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-português,português,adjective,,541,португальский,kaikki_pt_ru_adjadv_seed
kaikki-adjective-militar,militar,adjective,,605,военный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-civil,civil,adjective,,695,гражданский,kaikki_pt_ru_adjadv_seed
kaikki-adjective-errado,errado,adjective,,697,неправильный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-original,original,adjective,,727,исконный,kaikki_pt_ru_adjadv_seed
kaikki-adjective-simples,simples,adjective,,729,простой,kaikki_pt_ru_adjadv_seed
