id,item_id,choice_text,is_correct
431251,24,"зелёный",0
431252,24,"свободный",0
431253,24,"быстрый",1
431254,24,"вместе",0
431255,24,"неправильный",0
431256,24,"белый",0
431449,28,"пить",0
431450,28,"открывать",1
431451,28,"принести",0
431452,28,"хотеть",0
431453,28,"расти",0
431454,28,"решить",0
431791,30,"знаменитый",0
431792,30,"безупречный",0
431793,30,"открытый",0
431794,30,"сумасшедший",0
431795,30,"арестованный",0
431796,30,"маленький",1
404605,31,"вчера",1
404606,31,"поздно",0
404607,31,"наконец",0
404608,31,"медленно",0
404609,31,"редко",0
404610,31,"обычно",0
432091,32,"альбом",0
432092,32,"кризис",0
432093,32,"усилие",0
432094,32,"десятилетие",0
432095,32,"окно",1
432096,32,"кровь",0
434797,34,"рассказывать",0
434798,34,"производить",0
434799,34,"красный",0
434800,34,"трудный",1
434801,34,"внутри",0
434802,34,"лучший",0
435025,38,"бедный",0
435026,38,"странный",1
435027,38,"французский",0
435028,38,"обычный",0
435029,38,"общий",0
435030,38,"горячий",0
401377,41,"думать",0
401378,41,"работать",1
401379,41,"гулять",0
401380,41,"хотеть",0
401381,41,"убивать",0
401382,41,"открывать",0
432517,52,"переживать",0
432518,52,"увлечь",0
432519,52,"спрятать",0
432520,52,"мешать",0
432521,52,"писать",1
432522,52,"выбирать",0
404539,57,"день",1
404540,57,"градус",0
404541,57,"ад",0
404542,57,"стена",0
404543,57,"гид",0
404544,57,"обед",0
404551,58,"мир",1
404552,58,"регион",0
404553,58,"континент",0
404554,58,"пространство",0
404555,58,"территория",0
404556,58,"район",0
430459,59,"поле",0
430460,59,"жизнь",1
430461,59,"вопрос",0
430462,59,"вечеринка",0
430463,59,"семья",0
430464,59,"река",0
430465,60,"переезд",0
430466,60,"уважение",0
430467,60,"вопрос",0
430468,60,"путь",0
430469,60,"бизнес",0
430470,60,"дом",1
430471,61,"суббота",0
430472,61,"вечеринка",0
430473,61,"ничто",1
430474,61,"итог",0
430475,61,"мать",0
430476,61,"вода",0
430477,62,"есть",0
430478,62,"чувствовать",0
430479,62,"видеть",1
430480,62,"начать",0
430481,62,"понять",0
430482,62,"следовать",0
404563,63,"год",1
404564,63,"период",0
404565,63,"сезон",0
404566,63,"интервал",0
404567,63,"этап",0
404568,63,"цикл",0
404575,65,"город",1
404576,65,"район",0
404577,65,"регион",0
404578,65,"территория",0
404579,65,"округ",0
404580,65,"площадка",0
430489,66,"голова",0
430490,66,"присутствие",0
430491,66,"река",0
430492,66,"соль",0
430493,66,"труд",1
430494,66,"язык",0
400225,67,"найти",0
400226,67,"видеть",0
400227,67,"сказать",0
400228,67,"помочь",0
400229,67,"оставаться",1
400230,67,"использовать",0
430501,68,"защита",0
430502,68,"школа",0
430503,68,"тело",0
430504,68,"мать",1
430505,68,"побережье",0
430506,68,"смерть",0
430507,69,"друг",0
430508,69,"суббота",0
430509,69,"воля",0
430510,69,"уважение",0
430511,69,"река",1
430512,69,"итог",0
430513,70,"вода",0
430514,70,"вечеринка",0
430515,70,"ночь",1
430516,70,"смерть",0
430517,70,"муниципалитет",0
430518,70,"институт",0
400249,71,"тип",1
400250,71,"страна",0
400251,71,"место",0
400252,71,"семья",0
400253,71,"президент",0
400254,71,"истина",0
372955,72,"номер",0
372956,72,"момент",1
372957,72,"пляж",0
372958,72,"война",0
372959,72,"пламя",0
372960,72,"виза",0
404473,73,"истина",1
404474,73,"место",0
404475,73,"семья",0
404476,73,"конец",0
404477,73,"неделя",0
404478,73,"сделка",0
404479,74,"место",1
404480,74,"истина",0
404481,74,"семья",0
404482,74,"конец",0
404483,74,"неделя",0
404484,74,"сделка",0
430519,75,"земля",0
430520,75,"голова",0
430521,75,"страна",1
430522,75,"дом",0
430523,75,"брат",0
430524,75,"министерство",0
400273,76,"страна",0
400274,76,"семья",0
400275,76,"народ",0
400276,76,"конец",0
400277,76,"неделя",0
400278,76,"президент",1
430531,77,"дом",0
430532,77,"страна",0
430533,77,"кровать",0
430534,77,"семья",1
430535,77,"манера",0
430536,77,"мать",0
430537,78,"воля",0
430538,78,"улица",0
430539,78,"земля",0
430540,78,"народ",1
430541,78,"музыка",0
430542,78,"суббота",0
400297,79,"сделка",0
400298,79,"правительство",0
400299,79,"отец",0
400300,79,"конец",1
400301,79,"неделя",0
400302,79,"игра",0
400303,80,"отец",0
400304,80,"неделя",1
400305,80,"сделка",0
400306,80,"правительство",0
400307,80,"конец",0
400308,80,"игра",0
