item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,source_family,primary_flag,human_cluster,severity,suggested_action
10097,são,здоровый человек,noun,,,1570,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10075,agora,настоящее время,noun,,,1880,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10030,todo,весь,adjective,,3k,2080,empty,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
10009,nem,не,adverb,,3k,2130,empty,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
9288,idiota,идиот,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,2191,safe_promote,transparent_pair,review_transparent_pair,review_high,repair_or_deactivate
10107,tinha,стригущий лишай,noun,,,2240,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10056,ir,идти,verb,,,2250,empty,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
10108,boa,хорошая новость,noun,,,2260,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
3499,classificação,классифицирование,noun,build:pilot_ptpt_001_enriched:safe_promote,5K,2410,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10215,última,последняя новость,noun,,,2640,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10042,único,единственный,adjective,,3k,2730,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10198,bastante,достаточное количество,noun,,,2750,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
9316,instalação,устано́вка,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,2951,safe_promote,length_outlier_in_choices,review_length_outlier_generic,review_high,repair_or_deactivate
8979,condenado,заключённый,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,3190,safe_promote,length_outlier_in_choices,review_length_outlier_generic,review_high,repair_or_deactivate
10346,julgamento,судебное разбирательство,noun,,,3260,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10360,divulgação,распространение,noun,,,3300,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10365,emergência,чрезвычайная ситуация,noun,,,3320,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10374,agricultura,сельское хозяйство,noun,,,3350,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10378,legislação,законодательство,noun,,,3350,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10450,documentário,документальный фильм,noun,,,3520,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10456,senão,предостережение,noun,,,3530,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10486,funcionamento,функционирование,noun,,,3580,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10496,graduação,выпускной экзамен,noun,,,3600,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10497,latino,латиноамериканец,noun,,,3600,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10520,nervoso,нервный человек,noun,,,3630,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
8895,candidatura,кандидату́ра,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,5K,4048,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
3500,colapso,глубокая депрессия,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,5923,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
8985,consulado,ко́нсульство,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,6747,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
8782,apocalipse,апокали́псис,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,7728,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
9361,jurisdição,юрисди́кция,noun,build:pilot_ptpt_001_enriched:safe_promote_v2,10K,7937,safe_promote,length_outlier_in_choices,review_length_outlier_generic,review_high,repair_or_deactivate
3495,certificação,сертификация,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,9635,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
3549,imbecil,дура,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,9696,safe_promote,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
3502,colisão,столкновение,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,9976,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
3476,azeite,оливковое масло,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11810,safe_promote,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
3482,bit,бит,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11815,safe_promote,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
10631,amplidão,протяжённость,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10612,boom,бум,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
10595,compacto,компактный автомобиль,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10636,cubo,куб,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_short_correct,review_high,repair_or_deactivate
10597,desapego,эмоциональная отстранённость,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
10599,estimulação,стимуляция,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_generic,review_high,repair_or_deactivate
10620,ingestão,приём пищи,noun,openwordnet_manual_fill_v1,,,openwordnet,length_outlier_in_choices,review_length_outlier_generic,review_high,repair_or_deactivate
