item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,is_active,high_cluster,source_family,has_choices,choice_count_unique,correct_in_choices,functionish_lemma,multiword_answer,suspicious_pos_or_surface,auto_bucket,suggested_action,reason_codes,choices_preview,meta_tables_hit
10097,são,здоровый человек,noun,,,1570,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,здоровый человек || часть || форма || случай || вопрос || ответ,
10075,agora,настоящее время,noun,,,1880,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,настоящее время || раз || день || год || ночь || время,
10107,tinha,стригущий лишай,noun,,,2240,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,стригущий лишай || часть || форма || случай || вопрос || ответ,
10108,boa,хорошая новость,noun,,,2260,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,хорошая новость || часть || форма || случай || вопрос || ответ,
10215,última,последняя новость,noun,,,2640,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,последняя новость || часть || форма || случай || вопрос || ответ,
10198,bastante,достаточное количество,noun,,,2750,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,достаточное количество || часть || форма || случай || вопрос || ответ,
10346,julgamento,судебное разбирательство,noun,,,3260,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,судебное разбирательство || часть || форма || случай || вопрос || ответ,
10365,emergência,чрезвычайная ситуация,noun,,,3320,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,чрезвычайная ситуация || часть || форма || случай || вопрос || ответ,
10374,agricultura,сельское хозяйство,noun,,,3350,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,сельское хозяйство || часть || форма || случай || вопрос || ответ,
10450,documentário,документальный фильм,noun,,,3520,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,документальный фильм || часть || форма || случай || вопрос || ответ,
