item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,active_value,source_family,priority_score,suggested_wave,operator_hint,priority_reasons,choice_count,choices_preview
3146,errado,неправильный,adjective,build:pilot_ptpt_003_kaikki_adjadv,1K,697,1,kaikki,85,wave_c_tail,review_pack,kaikki|hot_bin:1K|freq<=1k,6,хуже || исконный || простой || неправильный || зелёный || белый
1364,dente,зуб,noun,build:pilot_ptpt_001_enriched_qc,10K,5404,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,круиз || зуб || топор || архитектура || гора || шея
1058,bico,клюв,noun,build:pilot_ptpt_001_enriched_qc,10K,5914,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,шутка || вмешательство || клюв || староста || трактат || внук
1564,ferida,рана,noun,build:pilot_ptpt_001_enriched_qc,10K,6064,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,певец || рана || песнь || рассказ || предупреждение || копьё
953,apelo,зов,noun,build:pilot_ptpt_001_enriched_qc,10K,6263,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,самолёт || дерево || зима || зов || кот || полковник
1068,boi,вол,noun,build:pilot_ptpt_001_enriched_qc,10K,6270,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,зима || кот || полковник || дерево || самолёт || вол
2623,veneno,яд,noun,build:pilot_ptpt_001_enriched_qc:deactivated_final_bad_short_20260311_133030,10K,6486,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,стипендия || рубашка || конфликт || потребление || флаг || яд
1187,chat,чат,noun,build:pilot_ptpt_001_enriched_qc,10K,6996,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,чат || переводчик || баланс || щит || майка || машина
2085,orelha,ухо,noun,build:pilot_ptpt_001_enriched_qc,10K,7058,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,щит || ботинок || оркестр || препинание || ухо || девиз
1430,eco,эхо,noun,build:pilot_ptpt_001_enriched_qc,10K,7146,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,отделение || лифт || ген || эхо || дельта || герцог
1646,gene,ген,noun,build:pilot_ptpt_001_enriched_qc,10K,7160,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,макао || эхо || ген || лифт || герцог || отделение
2285,quadrilha,рил,noun,build:pilot_ptpt_001_enriched_qc,10K,7566,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,важность || болгария || юго-запад || рил || пизда || малайзия
1199,chuveiro,душ,noun,build:pilot_ptpt_001_enriched_qc,10K,8018,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,карабканье || ирис || душ || телец || фильтр || спектр
1220,clã,клан,noun,build:pilot_ptpt_001_enriched_qc,10K,8588,1,enriched_qc,70,wave_c_tail,review_pack,enriched_qc|short_correct|noun_short_answer,6,ствол || бабочка || верность || сложение || христианство || клан
