item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,source_family,auto_bucket,suggested_action,reason_codes,choices_preview
10097,são,здоровый человек,noun,,,1570,empty,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,здоровый человек || часть || форма || случай || вопрос || ответ
10075,agora,настоящее время,noun,,,1880,empty,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,настоящее время || раз || день || год || ночь || время
10107,tinha,стригущий лишай,noun,,,2240,empty,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,стригущий лишай || часть || форма || случай || вопрос || ответ
10108,boa,хорошая новость,noun,,,2260,empty,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,хорошая новость || часть || форма || случай || вопрос || ответ
10215,última,последняя новость,noun,,,2640,empty,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,последняя новость || часть || форма || случай || вопрос || ответ
10198,bastante,достаточное количество,noun,,,2750,empty,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,достаточное количество || часть || форма || случай || вопрос || ответ
10346,julgamento,судебное разбирательство,noun,,,3260,empty,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,судебное разбирательство || часть || форма || случай || вопрос || ответ
10365,emergência,чрезвычайная ситуация,noun,,,3320,empty,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,чрезвычайная ситуация || часть || форма || случай || вопрос || ответ
10374,agricultura,сельское хозяйство,noun,,,3350,empty,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,сельское хозяйство || часть || форма || случай || вопрос || ответ
10450,documentário,документальный фильм,noun,,,3520,empty,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,документальный фильм || часть || форма || случай || вопрос || ответ
10496,graduação,выпускной экзамен,noun,,,3600,empty,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,выпускной экзамен || часть || форма || случай || вопрос || ответ
10520,nervoso,нервный человек,noun,,,3630,empty,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,нервный человек || часть || форма || случай || вопрос || ответ
3500,colapso,глубокая депрессия,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,5923,safe_promote,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,глубокая депрессия || кома || клюв || рабство || биоразнообразие || кривая
3476,azeite,оливковое масло,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11810,safe_promote,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,оливковое масло || бит || морковь || скрипка || матрац || уксус
10595,compacto,компактный автомобиль,noun,openwordnet_manual_fill_v1,,,openwordnet,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,никарагуа || гей || авто || компактный автомобиль || инвестиции || философ
10597,desapego,эмоциональная отстранённость,noun,openwordnet_manual_fill_v1,,,openwordnet,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,свинец || анонс || включение || роза || соглашение || эмоциональная отстранённость
10620,ingestão,приём пищи,noun,openwordnet_manual_fill_v1,,,openwordnet,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,приём пищи || рубашка || бич || факультет || ректор || призёр
10456,senão,предостережение,noun,,,3530,empty,semantic_review,candidate_manual_semantic_review,functionish_lemma|suspicious_pos_or_surface,предостережение || часть || форма || случай || вопрос || ответ
