item_id,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,reasons,matched_safe_reasons,choices_preview
1630,galinha,курка,noun,build:pilot_ptpt_001_enriched_qc,10K,5011,awkward_ru_gloss,awkward_ru_gloss,экзамен || курка || снаряжение || пёс || экспансия || долг
3393,bem,хорошо,adverb,build:pilot_ptpt_004_adverb_curated,1K,54,functionish_surface,functionish_surface,аж || только || здесь || уже || сейчас || хорошо
3386,aqui,здесь,adverb,build:pilot_ptpt_004_adverb_curated,1K,63,functionish_surface,functionish_surface,потом || аж || хорошо || здесь || сейчас || так
3375,agora,сейчас,adverb,build:pilot_ptpt_004_adverb_curated,1K,70,functionish_surface,functionish_surface,где || здесь || сейчас || так || аж || потом
3392,assim,так,adverb,build:pilot_ptpt_004_adverb_curated,1K,75,functionish_surface,functionish_surface,где || потом || хорошо || лучше || всегда || так
3376,depois,потом,adverb,build:pilot_ptpt_004_adverb_curated,1K,76,functionish_surface,functionish_surface,лучше || так || потом || только || всегда || где
3378,sempre,всегда,adverb,build:pilot_ptpt_004_adverb_curated,1K,98,functionish_surface,functionish_surface,сегодня || никогда || где || лучше || всегда || лишь
3354,nunca,никогда,adverb,build:pilot_ptpt_003_kaikki_adjadv,1K,110,functionish_surface,functionish_surface,никогда || ещё || раньше || так || лишь || сегодня
3372,hoje,сегодня,adverb,build:pilot_ptpt_004_adverb_curated,1K,117,functionish_surface,functionish_surface,ещё || никогда || лишь || раньше || только || сегодня
3367,ainda,ещё,adverb,build:pilot_ptpt_004_adverb_curated,1K,120,functionish_surface,functionish_surface,никогда || ещё || сквозь || раньше || уже || сколько
3377,antes,раньше,adverb,build:pilot_ptpt_004_adverb_curated,1K,151,functionish_surface,functionish_surface,почти || сквозь || раньше || ещё || сколько || уже
3362,amanhã,завтра,adverb,build:pilot_ptpt_003_kaikki_adjadv,1K,548,functionish_surface,functionish_surface,далеко || возможно || вчера || хуже || ниже || завтра
3387,ali,там,adverb,build:pilot_ptpt_004_adverb_curated,1K,820,functionish_surface,functionish_surface,выше || снаружи || близко || там || скоро || поздно
278,fernando,фердинанд,noun,build:pilot_ptpt_001_pilot_safe,2K,1046,proper_name_like,proper_name_like,квартира || генерал || авария || усилие || категория || фердинанд
31,ontem,вчера,adverb,build:seed,2K,1500,functionish_surface,functionish_surface,вчера || поздно || наконец || медленно || редко || обычно
10007,também,тоже,adverb,,2k,1690,functionish_surface,functionish_surface,тоже || вчера || наконец || поздно || быстро || часто
10008,então,тогда,adverb,,3k,2130,functionish_surface,functionish_surface,тогда || быстро || часто || редко || наконец || обычно
696,luís,людвиг,noun,build:pilot_ptpt_001_pilot_safe,5K,2689,proper_name_like,proper_name_like,рыбы || людвиг || специалист || пожар || поэзия || чай
703,existir,бывать,verb,build:pilot_ptpt_001_pilot_safe,5K,2723,awkward_ru_gloss,awkward_ru_gloss,кормить || ломаться || записать || спрятать || бывать || должен
738,manuel,мануил,noun,build:pilot_ptpt_001_pilot_safe,5K,2893,proper_name_like,proper_name_like,случай || лечение || мануил || тётя || макияж || семинар
