item_id,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,reasons,choices_preview
10074,tudo,всё,noun,,,1810,short_choice_pack,всё || часть || вещь || форма || слово || уровень
10078,coisa,вещь,noun,,,2070,short_choice_pack,вещь || часть || форма || вопрос || ответ || слово
10081,nome,имя,noun,,,2230,short_choice_pack,имя || число || слово || вопрос || ответ || голос
10085,cara,лицо,noun,,,2320,short_choice_pack,лицо || голова || тело || рука || имя || голос
10068,embora,прочь,adverb,,,2520,short_choice_pack,прочь || там || тогда || снова || точно || сейчас
10088,medo,страх,noun,,,2610,short_choice_pack,страх || любовь || сила || война || закон || мир
10089,força,сила,noun,,,2650,short_choice_pack,сила || страх || любовь || закон || война || мир
1630,galinha,курка,noun,build:pilot_ptpt_001_enriched_qc,10K,5011,awkward_ru_gloss,экзамен || курка || снаряжение || пёс || экспансия || долг
1522,eva,ева,noun,build:pilot_ptpt_001_enriched_qc,10K,5097,short_choice_pack,труба || лимон || грязь || зов || судан || ева
3560,irã,иран,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,5215,short_choice_pack,багаж || иран || борода || метод || давид || гаити
1850,lesão,рана,noun,build:pilot_ptpt_001_enriched_qc,10K,5219,short_choice_pack,конь || глава || напряжение || рис || песок || рана
2308,rato,мышь,noun,build:pilot_ptpt_001_enriched_qc,10K,5246,short_choice_pack,глава || мышь || напряжение || конь || песок || рис
2318,recusa,отказ,noun,build:pilot_ptpt_001_enriched_qc,10K,5247,short_choice_pack,напряжение || песок || отказ || рис || глава || конь
1364,dente,зуб,noun,build:pilot_ptpt_001_enriched_qc,10K,5404,short_choice_pack,круиз || зуб || топор || архитектура || гора || шея
1483,escravo,раб,noun,build:pilot_ptpt_001_enriched_qc,10K,5529,short_choice_pack,юлий || пидор || давид || залив || раб || дания
2153,perfume,духи,noun,build:pilot_ptpt_001_enriched_qc,10K,5672,short_choice_pack,духи || адрес || нефть || цикл || герой || хирургия
1302,creme,крем,noun,build:pilot_ptpt_001_enriched_qc,10K,6046,short_choice_pack,польша || форум || крем || судан || кит || иоиль
1237,comboio,поезд,noun,build:pilot_ptpt_001_enriched_qc,10K,6275,short_choice_pack,альт || гаити || крем || поезд || паспорт || крыша
1859,limão,лимон,noun,build:pilot_ptpt_001_enriched_qc,10K,6316,short_choice_pack,лимон || ложь || буква || нация || пиво || дружба
2183,planalto,плато,noun,build:pilot_ptpt_001_enriched_qc,10K,6331,short_choice_pack,ливан || пытка || семя || купол || ведро || плато
1487,escudo,щит,noun,build:pilot_ptpt_001_enriched_qc,10K,7022,short_choice_pack,чат || ухо || майка || баланс || щит || девиз
