lemma,ru_gloss,pos,freq_rank,bin_name,source
falar,говорить,verb,157,1K,pt_ru_seed_dictionary_v1
contar,рассказывать,verb,740,1K,pt_ru_seed_dictionary_v1
produzir,производить,verb,2112,5K,pt_ru_seed_dictionary_v1
existir,существовать,verb,2723,5K,pt_ru_seed_dictionary_v1
dever,быть должным,verb,3068,5K,pt_ru_seed_dictionary_prefill_v2
vestir,одевать,verb,4277,5K,pt_ru_seed_dictionary_prefill_v2
avançar,продвигаться,verb,4291,5K,pt_ru_seed_dictionary_prefill_v2
escutar,слушать,verb,4472,5K,pt_ru_seed_dictionary_prefill_v2
executar,выполнять,verb,5298,10K,pt_ru_seed_dictionary_prefill_v2
aproximar,приближать,verb,5380,10K,pt_ru_seed_dictionary_prefill_v2
cancelar,отменять,verb,5388,10K,pt_ru_seed_dictionary_prefill_v2
curtir,наслаждаться,verb,5514,10K,pt_ru_seed_dictionary_prefill_v2
pintar,рисовать,verb,5877,10K,pt_ru_seed_dictionary_prefill_v2
instalar,устанавливать,verb,6305,10K,pt_ru_seed_dictionary_prefill_v2
implementar,внедрять,verb,7421,10K,pt_ru_seed_dictionary_prefill_v2
inventar,выдумывать,verb,7931,10K,pt_ru_seed_dictionary_prefill_v2
rolar,катиться,verb,8812,10K,pt_ru_seed_dictionary_prefill_v2
acelerar,ускорять,verb,9787,10K,pt_ru_seed_dictionary_prefill_v2
melhor,лучший,adjective,95,1K,pt_ru_seed_dictionary_v1
português,португальский,adjective,541,1K,pt_ru_seed_dictionary_v1
político,политический,adjective,791,1K,pt_ru_seed_dictionary_prefill_v2
normal,обычный,adjective,970,1K,pt_ru_seed_dictionary_prefill_v2
inteiro,целый,adjective,1244,2K,pt_ru_seed_dictionary_v1
verdadeiro,истинный,adjective,1265,2K,pt_ru_seed_dictionary_v1
pronto,готовый,adjective,1294,2K,pt_ru_seed_dictionary_v1
feliz,счастливый,adjective,1300,2K,pt_ru_seed_dictionary_v1
francês,французский,adjective,1312,2K,pt_ru_seed_dictionary_v1
vermelho,красный,adjective,1346,2K,pt_ru_seed_dictionary_v1
alegre,весёлый,adjective,1519,2K,pt_ru_seed_dictionary_v1
pobre,бедный,adjective,1582,2K,pt_ru_seed_dictionary_v1
quente,горячий,adjective,1586,2K,pt_ru_seed_dictionary_v1
rico,богатый,adjective,1724,2K,pt_ru_seed_dictionary_v1
mau,плохой,adjective,1936,2K,pt_ru_seed_dictionary_v1
russo,русский,adjective,1947,2K,pt_ru_seed_dictionary_v1
