external_key,lemma,pos,level,freq_rank,ru_gloss,notes
rich-0001,casa,noun,A1,300,дом,common household noun
rich-0002,janela,noun,A2,1700,окно,household noun
rich-0003,estrada,noun,B1,3200,дорога,travel noun
rich-0004,livro,noun,A1,520,книга,study noun
rich-0005,água,noun,A1,280,вода,basic noun
rich-0006,trabalhar,verb,A1,980,работать,work verb
rich-0007,escolher,verb,B1,3600,выбирать,decision verb
rich-0008,escrever,verb,A2,2200,писать,study verb
rich-0009,abrir,verb,A1,1100,открывать,basic verb
rich-0010,cedo,adverb,A2,2600,рано,time adverb
rich-0011,talvez,adverb,B1,4700,возможно,logic adverb
rich-0012,ontem,adverb,A1,1500,вчера,time adverb
