item_id,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,active_value,source_family,flags,hard_reasons,should_deactivate,choices_preview
3402,só,только,adverb,build:pilot_ptpt_004_adverb_curated,1K,50,1,adverb_curated,adverb_curated_source|functionish_lemma,functionish_surface,1,уже || только || аж || здесь || сейчас || хорошо
57,dia,день,noun,build:pilot_ptpt_001_pilot_safe,1K,51,1,pilot_safe,pilot_safe_source|short_answer|noun_short_answer,pilot_safe_hot_short_noun,1,день || градус || ад || стена || гид || обед
62,ver,видеть,verb,build:pilot_ptpt_001_pilot_safe,1K,94,1,pilot_safe,pilot_safe_source,,0,оставаться || использовать || видеть || найти || сказать || помочь
3127,grande,большой,adjective,build:pilot_ptpt_003_kaikki_adjadv,1K,100,1,kaikki,kaikki_source,,0,сделанный || важный || большой || счастливый || новый || лучший
131,começar,начать,verb,build:pilot_ptpt_001_pilot_safe,1K,501,1,pilot_safe,pilot_safe_source,,0,слушать || начать || покупать || пить || следовать || жить
268,conversa,разговор,noun,build:pilot_ptpt_001_pilot_safe,2K,1006,1,pilot_safe,pilot_safe_source,,0,день рождения || остров || жена || девочка || разговор || левый
272,ilha,остров,noun,build:pilot_ptpt_001_pilot_safe,2K,1012,1,pilot_safe,pilot_safe_source,,0,жена || остров || разговор || день рождения || левый || девочка
273,menina,девочка,noun,build:pilot_ptpt_001_pilot_safe,2K,1015,1,pilot_safe,pilot_safe_source,,0,разговор || левый || жена || день рождения || остров || девочка
3158,preso,арестованный,adjective,build:pilot_ptpt_003_kaikki_adjadv,2K,1020,1,kaikki,kaikki_source,,0,исторический || печальный || арестованный || необходимый || синий || безупречный
3159,interessante,интересный,adjective,build:pilot_ptpt_003_kaikki_adjadv,2K,1079,1,kaikki,kaikki_source,,0,традиционный || интересный || готовый || печальный || удивительный || холодный
541,grau,градус,noun,build:pilot_ptpt_001_pilot_safe,5K,2014,1,pilot_safe,pilot_safe_source,,0,ад || градус || спорт || гид || стена || декрет
3398,depressa,быстро,adverb,build:pilot_ptpt_004_adverb_curated,5K,2100,1,adverb_curated,adverb_curated_source,,0,рано || обычно || особенно || редко || часто || быстро
3194,caro,дорогой,adjective,build:pilot_ptpt_003_kaikki_adjadv,5K,2178,1,kaikki,kaikki_source,,0,умный || больной || женский || ежегодный || дорогой || глупый
52,escrever,писать,verb,build:sample_rich,5K,2200,1,other,,,0,любить || писать || достичь || петь || мешать || делать
591,alcançar,достичь,verb,build:pilot_ptpt_001_pilot_safe,5K,2214,1,pilot_safe,pilot_safe_source,,0,писать || любить || понести || достичь || петь || мешать
1607,fraude,афера,noun,build:pilot_ptpt_001_enriched_qc,10K,5008,1,enriched_qc,enriched_qc_source|short_answer|noun_short_answer,,0,долг || пёс || экспансия || экзамен || афера || снаряжение
3248,artístico,художественный,adjective,build:pilot_ptpt_003_kaikki_adjadv,10K,5062,1,kaikki,kaikki_source,,0,волшебный || конкретный || мозговой || художественный || серый || союзный
4004,mágico,волшебный,adjective,build:pilot_ptpt_003_kaikki_adjadv:safe_promote_v2,10K,5116,1,safe_promote,,,0,серый || художественный || конкретный || волшебный || союзный || мозговой
3509,curtir,дубить,verb,build:pilot_ptpt_001_enriched:safe_promote,10K,5514,1,safe_promote,,,0,успеть || отбиваться || дубить || принимать || переводить || отдыхать
3615,resistir,отбиваться,verb,build:pilot_ptpt_001_enriched:safe_promote,10K,5681,1,safe_promote,,,0,отдыхать || принимать || отбиваться || будить || исчезать || стрелять
1599,formiga,муравей,noun,build:pilot_ptpt_001_enriched_qc,20K,10012,1,enriched_qc,enriched_qc_source,,0,бич || муравей || бездна || бисквит || игла || пот
1611,frustração,фрустрация,noun,build:pilot_ptpt_001_enriched_qc,20K,10013,1,enriched_qc,enriched_qc_source,,0,фрустрация || дилемма || черепаха || директория || методология || муравей
1758,insistir,настаивать,verb,build:pilot_ptpt_001_enriched_qc,20K,10022,1,enriched_qc,enriched_qc_source,,0,прыгать || восхищаться || топать || настаивать || считать || предпочесть
3918,noventa,девяносто,adjective,build:pilot_ptpt_003_kaikki_adjadv:safe_promote,20K,10055,1,safe_promote,,,0,худой || мышечный || переносной || зоопарк || ускоренный || девяносто
