item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,active_value,source_family,priority_score,suggested_wave,operator_hint,priority_reasons,choice_count,choices_preview
542,inferno,ад,noun,build:pilot_ptpt_001_pilot_safe,5K,2015,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,декрет || ад || градус || гид || спорт || стена
622,gelo,лёд,noun,build:pilot_ptpt_001_pilot_safe,5K,2325,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,песнь || рассказ || рыба || лёд || предупреждение || певец
624,peixe,рыба,noun,build:pilot_ptpt_001_pilot_safe,5K,2341,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,копьё || предупреждение || рыба || певец || рассказ || песнь
640,tia,тётя,noun,build:pilot_ptpt_001_pilot_safe,5K,2401,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,корабль || определение || тётя || ученик || цвет || классифицирование
698,chá,чай,noun,build:pilot_ptpt_001_pilot_safe,5K,2711,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,специалист || рыбы || пожар || чай || лечение || зал
707,salão,зал,noun,build:pilot_ptpt_001_pilot_safe,5K,2751,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,лечение || стул || замок || зал || трудность || палец
724,mel,мёд,noun,build:pilot_ptpt_001_pilot_safe,5K,2843,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,анонс || архитектура || цыплёнок || мёд || призёр || подросток
741,pescoço,шея,noun,build:pilot_ptpt_001_pilot_safe,5K,2900,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,шея || кузина || сон || напряжение || риф || талант
743,recife,риф,noun,build:pilot_ptpt_001_pilot_safe,5K,2907,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,напряжение || масло || сон || риф || озеро || талант
744,sono,сон,noun,build:pilot_ptpt_001_pilot_safe,5K,2910,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,напряжение || озеро || талант || масло || сон || вид
763,nariz,нос,noun,build:pilot_ptpt_001_pilot_safe,5K,3028,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,рейс || скала || разрешение || ангел || нос || серебро
781,queijo,сыр,noun,build:pilot_ptpt_001_pilot_safe,5K,3102,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,vásko || гипотеза || сыр || напитки || приключение || темп
825,paraíso,рай,noun,build:pilot_ptpt_001_pilot_safe,5K,3350,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,читатель || сосед || рай || равновесие || соглашение || велосипед
837,hugo,хью,noun,build:pilot_ptpt_001_pilot_safe,5K,3408,1,pilot_safe,115,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|short_correct|noun_short_answer|freq<=5k,6,зеркало || урок || хью || посольство || пасьянс || стачка
571,consumo,потребление,noun,build:pilot_ptpt_001_pilot_safe,5K,2134,1,pilot_safe,80,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|freq<=5k,6,горизонт || вино || камера || aaa || доход || потребление
657,intervenção,вмешательство,noun,build:pilot_ptpt_001_pilot_safe,5K,2482,1,pilot_safe,80,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|freq<=5k,6,шутка || староста || внук || вмешательство || бассейн || трактат
720,exercício,упражнение,noun,build:pilot_ptpt_001_pilot_safe,5K,2836,1,pilot_safe,80,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|freq<=5k,6,анонс || упражнение || мёд || подросток || призёр || цыплёнок
729,arquitetura,архитектура,noun,build:pilot_ptpt_001_pilot_safe,5K,2861,1,pilot_safe,80,wave_b_pilot_safe_rest,review_pack,pilot_safe|bin:5K|freq<=5k,6,шея || архитектура || топор || гора || кузина || круиз
