item_id,lemma,bin_name,correct_answer,total_choices,correct_choices,rule_status,rule_risk_score,rule_flags,cognate_flags,candidate_class,reasons
868,acelerar,10K,торопить,6,1,ok,0,,,READY,
895,agradar,10K,нравиться,6,1,ok,0,reflexive_infinitive,,REVIEW,reflexive_infinitive:acceptable_but_flag_for_review
921,alterar,10K,менять,6,1,ok,0,,,READY,
989,atirar,10K,стрелять,6,1,ok,0,,,READY,
1529,executar,10K,делать,6,1,review,40,generic_ai_gloss,,REVIEW,gloss_rule:generic_ai_gloss
1732,implementar,10K,выполнять,6,1,ok,0,,,READY,
1759,instalar,10K,провести,6,1,ok,0,,,READY,
2172,pintar,10K,писать,6,1,ok,0,,,READY,
2362,rezar,10K,молиться,6,1,ok,0,reflexive_infinitive,,REVIEW,reflexive_infinitive:acceptable_but_flag_for_review
2371,rolar,10K,катиться,6,1,ok,0,reflexive_infinitive,,REVIEW,reflexive_infinitive:acceptable_but_flag_for_review
3467,aproximar,10K,оценивать,6,1,ok,0,,,READY,
3491,cancelar,10K,нарушать,6,1,ok,0,,,READY,
3509,curtir,10K,дубить,6,1,ok,0,,,READY,
9322,interessar,10K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9324,interpretar,10K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
9328,inventar,10K,изобрета́ть,6,1,ok,0,,,READY,
9689,registrar,10K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
23,comer,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
27,trabalhar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
50,trabalhar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
148,trabalhar,1K,,0,0,reject,275,english_leakage|latin_chars_in_ru_gloss|lemma_phonetic_copy|not_infinitive_like,,REJECT,no_correct_answer_in_vocab_choices
