item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,source_family,primary_flag,human_cluster,severity,suggested_action
58,mundo,мир,noun,build:pilot_ptpt_001_pilot_safe,1K,81,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
71,tipo,тип,noun,build:pilot_ptpt_001_pilot_safe,1K,192,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
81,jogo,игра,noun,build:pilot_ptpt_001_pilot_safe,1K,233,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
82,governo,правительство,noun,build:pilot_ptpt_001_pilot_safe,1K,238,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
83,pai,отец,noun,build:pilot_ptpt_001_pilot_safe,1K,240,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
95,sul,юг,noun,build:pilot_ptpt_001_pilot_safe,1K,291,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
123,mão,рука,noun,build:pilot_ptpt_001_pilot_safe,1K,451,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
125,paz,мир,noun,build:pilot_ptpt_001_pilot_safe,1K,453,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
127,produção,производство,noun,build:pilot_ptpt_001_pilot_safe,1K,471,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
163,visto,виза,noun,build:pilot_ptpt_001_pilot_safe,1K,623,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
178,sexo,пол,noun,build:pilot_ptpt_001_pilot_safe,1K,678,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
3146,errado,неправильный,adjective,build:pilot_ptpt_003_kaikki_adjadv,1K,697,kaikki,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
191,boca,рот,noun,build:pilot_ptpt_001_pilot_safe,1K,735,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
264,município,муниципалитет,noun,build:pilot_ptpt_001_pilot_safe,1K,992,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
265,preço,цена,noun,build:pilot_ptpt_001_pilot_safe,1K,996,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
267,aniversário,день рождения,noun,build:pilot_ptpt_001_pilot_safe,2K,1003,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
270,esposa,жена,noun,build:pilot_ptpt_001_pilot_safe,2K,1010,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
284,reunião,воссоединение,noun,build:pilot_ptpt_001_pilot_safe,2K,1057,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
285,sonho,сон,noun,build:pilot_ptpt_001_pilot_safe,2K,1058,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
332,bola,мяч,noun,build:pilot_ptpt_001_pilot_safe,2K,1235,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
337,olho,око,noun,build:pilot_ptpt_001_pilot_safe,2K,1251,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
359,distância,расстояние,noun,build:pilot_ptpt_001_pilot_safe,2K,1332,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
361,espécie,вид,noun,build:pilot_ptpt_001_pilot_safe,2K,1334,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
377,batalha,бой,noun,build:pilot_ptpt_001_pilot_safe,2K,1382,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
382,graça,помилование,noun,build:pilot_ptpt_001_pilot_safe,2K,1400,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
385,teste,тест,noun,build:pilot_ptpt_001_pilot_safe,2K,1412,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
387,violência,брутальность,noun,build:pilot_ptpt_001_pilot_safe,2K,1414,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
414,peso,вес,noun,build:pilot_ptpt_001_pilot_safe,2K,1549,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
10097,são,здоровый человек,noun,,,1570,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
434,lua,луна,noun,build:pilot_ptpt_001_pilot_safe,2K,1619,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
436,resistência,сопротивление,noun,build:pilot_ptpt_001_pilot_safe,2K,1626,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
467,posto,азс,noun,build:pilot_ptpt_001_pilot_safe,2K,1722,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
479,década,десятилетие,noun,build:pilot_ptpt_001_pilot_safe,2K,1775,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
491,cadeia,цепь,noun,build:pilot_ptpt_001_pilot_safe,2K,1838,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
495,mapa,географическая карта,noun,build:pilot_ptpt_001_pilot_safe,2K,1853,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
497,ponte,мост,noun,build:pilot_ptpt_001_pilot_safe,2K,1859,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
10075,agora,настоящее время,noun,,,1880,empty,length_outlier_in_choices,review_length_outlier_long_correct,review_high,repair_or_deactivate
534,independência,независимость,noun,build:pilot_ptpt_001_pilot_safe,2K,1980,pilot_safe,length_outlier_in_choices|legacy_source_family,review_uncategorized,review,manual_review
