item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,is_active,high_cluster,source_family,has_choices,choice_count_unique,correct_in_choices,functionish_lemma,multiword_answer,suspicious_pos_or_surface,auto_bucket,suggested_action,reason_codes,choices_preview,meta_tables_hit
10097,são,здоровый человек,noun,,,1570,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,здоровый человек || часть || форма || случай || вопрос || ответ,
10075,agora,настоящее время,noun,,,1880,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,настоящее время || раз || день || год || ночь || время,
10107,tinha,стригущий лишай,noun,,,2240,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,стригущий лишай || часть || форма || случай || вопрос || ответ,
10108,boa,хорошая новость,noun,,,2260,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,хорошая новость || часть || форма || случай || вопрос || ответ,
10215,última,последняя новость,noun,,,2640,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,последняя новость || часть || форма || случай || вопрос || ответ,
10198,bastante,достаточное количество,noun,,,2750,1,review_length_outlier_long_correct,empty,True,6,True,True,True,True,repair_first,candidate_repair_or_deactivate,functionish_lemma|multiword_answer|suspicious_pos_or_surface,достаточное количество || часть || форма || случай || вопрос || ответ,
10346,julgamento,судебное разбирательство,noun,,,3260,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,судебное разбирательство || часть || форма || случай || вопрос || ответ,
10365,emergência,чрезвычайная ситуация,noun,,,3320,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,чрезвычайная ситуация || часть || форма || случай || вопрос || ответ,
10374,agricultura,сельское хозяйство,noun,,,3350,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,сельское хозяйство || часть || форма || случай || вопрос || ответ,
10450,documentário,документальный фильм,noun,,,3520,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,документальный фильм || часть || форма || случай || вопрос || ответ,
10496,graduação,выпускной экзамен,noun,,,3600,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,выпускной экзамен || часть || форма || случай || вопрос || ответ,
10520,nervoso,нервный человек,noun,,,3630,1,review_length_outlier_long_correct,empty,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,нервный человек || часть || форма || случай || вопрос || ответ,
3500,colapso,глубокая депрессия,noun,build:pilot_ptpt_001_enriched:safe_promote,10K,5923,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,глубокая депрессия || кома || клюв || рабство || биоразнообразие || кривая,
3476,azeite,оливковое масло,noun,build:pilot_ptpt_001_enriched:safe_promote,20K,11810,1,review_length_outlier_long_correct,safe_promote,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,оливковое масло || бит || морковь || скрипка || матрац || уксус,
10595,compacto,компактный автомобиль,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_long_correct,openwordnet,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,никарагуа || гей || авто || компактный автомобиль || инвестиции || философ,
10597,desapego,эмоциональная отстранённость,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_long_correct,openwordnet,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,свинец || анонс || включение || роза || соглашение || эмоциональная отстранённость,
10620,ingestão,приём пищи,noun,openwordnet_manual_fill_v1,,,1,review_length_outlier_generic,openwordnet,True,6,True,False,True,True,repair_first,candidate_repair_or_deactivate,multiword_answer|suspicious_pos_or_surface,приём пищи || рубашка || бич || факультет || ректор || призёр,
