external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-03801,abandonar,verb,,3871,оставить,enriched_qc_pass
wfpt-10189,abelha,noun,,10298,пчела,enriched_qc_pass
wfpt-10004,abismo,noun,,10113,бездна,enriched_qc_pass
wfpt-02756,abordagem,noun,,2815,абордаж,enriched_qc_pass
wfpt-04610,aborto,noun,,4688,аборт,enriched_qc_pass
wfpt-03881,abraço,noun,,3952,объятие,enriched_qc_pass
wfpt-11659,absorção,noun,,11780,абсорбция,enriched_qc_pass
wfpt-09326,abundância,noun,,9430,обилие,enriched_qc_pass
wfpt-01616,academia,noun,,1665,академия,enriched_qc_pass
wfpt-05187,acadêmico,noun,,5267,академик,enriched_qc_pass
wfpt-03883,acampamento,noun,,3954,кемпинг,enriched_qc_pass
wfpt-05295,aceitação,noun,,5375,принятие,enriched_qc_pass
wfpt-09679,acelerar,verb,,9787,торопить,enriched_qc_pass
wfpt-08744,aceleração,noun,,8844,ускорение,enriched_qc_pass
wfpt-01026,achar,verb,,1062,думать,enriched_qc_pass
wfpt-01260,acidente,noun,,1301,авария,enriched_qc_pass
wfpt-11455,acomodar,verb,,11572,вмещать,enriched_qc_pass
wfpt-05725,acompanhamento,noun,,5808,сопровождение,enriched_qc_pass
wfpt-00219,acordo,noun,,231,сделка,enriched_qc_pass
wfpt-06051,acre,noun,,6136,акр,enriched_qc_pass
wfpt-10008,acusar,verb,,10117,обвинять,enriched_qc_pass
wfpt-10527,acústica,noun,,10639,акустика,enriched_qc_pass
wfpt-07147,adaptar,verb,,7238,приспособить,enriched_qc_pass
wfpt-08468,adição,noun,,8565,сложение,enriched_qc_pass
wfpt-01098,administração,noun,,1135,правление,enriched_qc_pass
wfpt-10710,admirar,verb,,10822,восхищаться,enriched_qc_pass
wfpt-02800,adolescente,noun,,2859,подросток,enriched_qc_pass
wfpt-06519,adorar,verb,,6608,обожать,enriched_qc_pass
wfpt-06173,adotar,verb,,6258,принимать,enriched_qc_pass
wfpt-05404,adoção,noun,,5487,усыновле́ние,enriched_qc_pass
wfpt-11663,adrenalina,noun,,11784,адреналин,enriched_qc_pass
wfpt-01334,advogado,noun,,1377,адвокат,enriched_qc_pass
wfpt-11664,adão,noun,,11785,адам,enriched_qc_pass
wfpt-01549,aeroporto,noun,,1597,аэропорт,enriched_qc_pass
wfpt-03884,afastar,verb,,3955,отталкивать,enriched_qc_pass
wfpt-05297,afeganistão,noun,,5377,афганистан,enriched_qc_pass
wfpt-07760,afetar,verb,,7855,воздействовать,enriched_qc_pass
wfpt-05405,afirmação,noun,,5488,утверждение,enriched_qc_pass
wfpt-04290,afonso,noun,,4366,альфонс,enriched_qc_pass
wfpt-06642,agradar,verb,,6731,нравиться,enriched_qc_pass
wfpt-10010,agulha,noun,,10119,игла,enriched_qc_pass
wfpt-00343,ajuda,noun,,360,помощь,enriched_qc_pass
wfpt-00365,ajudar,verb,,383,помочь,enriched_qc_pass
wfpt-06052,ala,noun,,6137,крыло,enriched_qc_pass
wfpt-08614,alarme,noun,,8712,аларм,enriched_qc_pass
wfpt-03469,alberto,noun,,3533,альберт,enriched_qc_pass
wfpt-02553,alcance,noun,,2608,дальность,enriched_qc_pass
wfpt-02160,alcançar,verb,,2214,достичь,enriched_qc_pass
wfpt-02246,aldeia,noun,,2300,деревня,enriched_qc_pass
wfpt-01647,alegria,noun,,1696,радость,enriched_qc_pass
wfpt-01683,alemanha,noun,,1732,германия,enriched_qc_pass
wfpt-02294,alemão,noun,,2348,неме́цкий,enriched_qc_pass
wfpt-11090,alergia,noun,,11204,аллергия,enriched_qc_pass
wfpt-10012,alessandro,noun,,10121,александр,enriched_qc_pass
wfpt-02554,alexandre,noun,,2609,александр,enriched_qc_pass
wfpt-10531,alfabeto,noun,,10643,алфавит,enriched_qc_pass
wfpt-07761,alfredo,noun,,7856,альфред,enriched_qc_pass
wfpt-05509,algodão,noun,,5592,вата,enriched_qc_pass
