scenario_id	opening_family	context	intent	format_type	topic	text
work_deadline_shift	Какими словами лучше сказать, когда	в рабочем чате	мягко попросить перенос срока	dialogue	work	Какими словами лучше сказать, когда нужно попросить сдвинуть дедлайн, не выглядя человеком, который просто слился?
package_redelivery	В какой форме лучше спросить, если	в сервисе доставки	перенести доставку	dialogue	services	В какой форме лучше спросить, если курьер не застал дома, и нужно спросить, можно ли быстро перенести доставку на другой день?
bank_fee_clarify	О чём обычно уточняют, если	в банке	попросить объяснить комиссию	dialogue	financas	О чём обычно уточняют, если выплыла непонятная комиссия, и нужно спокойно попросить объяснить, за что именно её взяли, если хочется сказать это по-человечески?
supermarket_refund	Какая фраза здесь звучит естественно, когда	в супермаркете	уточнить возврат или обмен	dialogue	shopping	Какая фраза здесь звучит естественно, когда нужно спокойно спросить, можно ли вернуть товар или хотя бы обменять его без лишней драмы, если хочется сказать это по-человечески?
document_pickup_delay	Какой вариант здесь звучит естественно, если	в AIMA	попросить внятный статус по документу	dialogue	documents	Какой вариант здесь звучит естественно, если срок уже вышел, а документ так и не готов, и нужно вежливо, но ясно попросить статус?
municipality_doc_copy	В какой форме лучше спросить, если	в Câmara	уточнить копия или оригинал	nuance	bureaucracy	В какой форме лучше спросить, если нужно уточнить, подойдёт ли копия документа или нужен именно оригинал, чтобы это звучало естественно и без канцелярита?
rent_raise_pushback_soft	В какой форме лучше спросить, если	в переписке с senhorio	мягко оспорить повышение аренды	dialogue	housing	В какой форме лучше спросить, если хозяин поднимает аренду, и нужно мягко уточнить, на чём основана новая сумма и можно ли это обсудить, чтобы это звучало естественно и без канцелярита?
financas_missing_step	Какой оборот здесь звучит естественно, если	в Finanças	уточнить следующий конкретный шаг	nuance	financas	Какой оборот здесь звучит естественно, если после объяснения всё равно непонятно, какой именно следующий шаг нужен прямо сейчас?
cafe_wifi_password	Как в разговоре обычно скажут, если	в кафе	спросить пароль от wi-fi	dialogue	food	Как в разговоре обычно скажут, если нужно быстро и нормально спросить пароль от wi-fi, не устраивая мини-церемонию, чтобы это звучало естественно и без канцелярита?
school_late_reply	Что обычно говорят, если	в чате школы	дожать до конкретики	nuance	culture	Что обычно говорят, если школа ответила расплывчато, и нужно вежливо дожать до конкретного ответа по времени и формату встречи, если хочется сказать это по-человечески?
mechanic_budget_cap	Что обычно говорят, когда	в разговоре с mecânico	обозначить лимит расходов	dialogue	services	Что обычно говорят, когда нужно заранее обозначить предел бюджета на ремонт и попросить согласовывать всё сверх этой суммы?
restaurant_split_bill	Что обычно спрашивают, когда	в ресторане	уточнить split bill	local	food	Что обычно спрашивают, когда нужно без неловкости спросить, можно ли разделить счёт на нескольких людей, если хочется сказать это по-человечески?
bus_ticket_confusion	Что обычно спрашивают, когда	на автовокзале	уточнить валидность билета	local	transport	Что обычно спрашивают, когда нужно быстро переспросить, подходит ли этот билет на ближайший автобус или нужен другой, если хочется сказать это по-человечески?
