id,lemma,question_text,correct_answer,difficulty_band,lexical_band,pos,topic_tag,active,freq_rank,level,bin_name,cefr_estimate,concept_group,donor_eligible
22,casa,"Что значит это слово?

casa","дом",,,noun,build:seed,0,300,A1,1K,A1,house_home,0
23,comer,"Что значит это слово?

comer","есть",,,verb,food,0,450,A1,1K,A1,food_daily,0
24,"rápido","Что значит это слово?

rápido","быстрый",,,adjective,build:seed,1,900,A1,1K,A2,"rápido",1
25,livro,"Что значит это слово?

livro","книга",,,noun,build:seed,0,520,A1,1K,A2,livro,0
26,"água","Что значит это слово?

água","вода",,,noun,build:seed,0,280,A1,1K,A1,food_daily,0
27,trabalhar,"Что значит это слово?

trabalhar","работать",,,verb,work,0,980,A1,1K,A2,work_employment,0
28,abrir,"Что значит это слово?

abrir","открывать",,,verb,build:seed,1,1100,A1,2K,A2,abrir,1
29,feliz,"Что значит это слово?

feliz","счастливый",,,adjective,build:seed,0,1300,A1,2K,A2,time_basic,0
30,pequeno,"Что значит это слово?

pequeno","маленький",,,adjective,build:seed,1,1400,A1,2K,A2,pequeno,1
31,ontem,"Что значит это слово?

ontem","вчера",,,adverb,build:seed,0,1500,A1,2K,A2,time_basic,0
32,janela,"Что значит это слово?

janela","окно",,,noun,build:seed,1,1700,A2,2K,B1,house_home,0
34,"difícil","Что значит это слово?

difícil","трудный",,,adjective,build:seed,1,2400,A2,5K,B1,work_employment,1
38,estranho,"Что значит это слово?

estranho","странный",,,adjective,build:seed,1,4200,B1,5K,B2,estranho,1
40,casa,casa,"дом",,,noun,build:sample_csv,0,300,A1,1K,A1,house_home,0
41,trabalhar,"Что значит это слово?

trabalhar","работать",,,verb,build:sample_csv,1,980,A1,1K,A2,work_employment,0
45,casa,casa,"дом",,,noun,build:sample_rich,0,300,A1,1K,A1,house_home,0
48,livro,livro,"книга",,,noun,build:sample_rich,0,520,A1,1K,A2,livro,0
49,"água","água","вода",,,noun,build:sample_rich,0,280,A1,1K,A1,food_daily,0
50,trabalhar,trabalhar,"работать",,,verb,build:sample_rich,0,980,A1,1K,A2,work_employment,0
52,escrever,"Что значит это слово?

escrever","писать",,,verb,build:sample_rich,1,2200,A2,5K,B1,escrever,1
57,dia,dia,"день",,,noun,build:pilot_ptpt_001_pilot_safe,0,51,,1K,A1,time_basic,0
58,mundo,mundo,"мир",,,noun,build:pilot_ptpt_001_pilot_safe,0,81,,1K,A1,mundo,0
59,vida,"Что значит это слово?

vida","жизнь",,,noun,build:pilot_ptpt_001_pilot_safe,1,85,,1K,A1,vida,0
60,casa,"Что значит это слово?

casa","дом",,,noun,build:pilot_ptpt_001_pilot_safe,1,91,,1K,A1,house_home,0
61,nada,"Что значит это слово?

nada","ничто",,,noun,build:pilot_ptpt_001_pilot_safe,1,92,,1K,A1,nada,0
62,ver,"Что значит это слово?

ver","видеть",,,verb,build:pilot_ptpt_001_pilot_safe,1,94,,1K,A1,ver,1
63,ano,ano,"год",,,noun,build:pilot_ptpt_001_pilot_safe,0,99,,1K,A1,time_basic,0
64,hoje,hoje,"сегодня",,,noun,build:pilot_ptpt_001_pilot_safe,0,117,,1K,A1,time_basic,0
65,cidade,cidade,"город",,,noun,build:pilot_ptpt_001_pilot_safe,0,124,,1K,A1,cidade,0
66,trabalho,"Что значит это слово?

trabalho","труд",,,noun,build:pilot_ptpt_001_pilot_safe,1,131,,1K,A1,work_employment,0
67,ficar,"Что значит это слово?

ficar","оставаться",,,verb,build:pilot_ptpt_001_pilot_safe,1,169,,1K,A1,core_verbs,0
68,"mãe","Что значит это слово?

mãe","мать",,,noun,build:pilot_ptpt_001_pilot_safe,1,170,,1K,A1,"mãe",0
69,rio,"Что значит это слово?

rio","река",,,noun,build:pilot_ptpt_001_pilot_safe,1,173,,1K,A1,rio,0
70,noite,"Что значит это слово?

noite","ночь",,,noun,build:pilot_ptpt_001_pilot_safe,1,177,,1K,A1,noite,0
71,tipo,tipo,"тип",,,noun,build:pilot_ptpt_001_pilot_safe,0,192,,1K,A1,tipo,0
72,momento,momento,"момент",,,noun,build:pilot_ptpt_001_pilot_safe,0,206,,1K,A1,momento,0
73,verdade,verdade,"истина",,,noun,build:pilot_ptpt_001_pilot_safe,0,208,,1K,A1,verdade,0
74,lugar,lugar,"место",,,noun,build:pilot_ptpt_001_pilot_safe,0,212,,1K,A1,lugar,0
75,"país","Что значит это слово?

país","страна",,,noun,build:pilot_ptpt_001_pilot_safe,1,214,,1K,A1,"país",0
76,presidente,presidente,"президент",,,noun,build:pilot_ptpt_001_pilot_safe,0,215,,1K,A1,presidente,0
77,"família","Что значит это слово?

família","семья",,,noun,build:pilot_ptpt_001_pilot_safe,1,224,,1K,A1,"família",0
78,gente,"Что значит это слово?

gente","народ",,,noun,build:pilot_ptpt_001_pilot_safe,1,225,,1K,A1,gente,0
79,fim,fim,"конец",,,noun,build:pilot_ptpt_001_pilot_safe,0,227,,1K,A1,fim,0
80,semana,semana,"неделя",,,noun,build:pilot_ptpt_001_pilot_safe,0,230,,1K,A1,time_basic,0
81,jogo,jogo,"игра",,,noun,build:pilot_ptpt_001_pilot_safe,0,233,,1K,A1,jogo,0
82,governo,"Что значит это слово?

governo","правительство",,,noun,build:pilot_ptpt_001_pilot_safe,1,238,,1K,A1,governo,0
83,pai,pai,"отец",,,noun,build:pilot_ptpt_001_pilot_safe,0,240,,1K,A1,pai,0
84,homem,"Что значит это слово?

homem","мужчина",,,noun,build:pilot_ptpt_001_pilot_safe,1,247,,1K,A1,homem,0
85,"música","Что значит это слово?

música","музыка",,,noun,build:pilot_ptpt_001_pilot_safe,1,250,,1K,A1,"música",0
86,"água","Что значит это слово?

água","вода",,,noun,build:pilot_ptpt_001_pilot_safe,1,254,,1K,A1,food_daily,0
87,"número","Что значит это слово?

número","номер",,,noun,build:pilot_ptpt_001_pilot_safe,1,266,,1K,A1,"número",0
88,dinheiro,"Что значит это слово?

dinheiro","деньги",,,noun,build:pilot_ptpt_001_pilot_safe,1,267,,1K,A1,shopping_money,0
89,sistema,sistema,"система",,,noun,build:pilot_ptpt_001_pilot_safe,0,272,,1K,A1,sistema,0
