item_pk,lemma,correct_answer,pos,topic_tag,bin_name,freq_rank,active_value,source_family,priority_score,suggested_wave,operator_hint,priority_reasons,choice_count,choices_preview
965,are,ар,noun,build:pilot_ptpt_001_enriched_qc:deactivated_final_bad_short_20260311_133030,5K,4038,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,ученик || автономия || вахта || отделение милиции || кандидатура || ар
1493,espada,меч,noun,build:pilot_ptpt_001_enriched_qc,5K,4230,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,доза || гимн || фактор || метр || меч || достоинство
2473,sopa,суп,noun,build:pilot_ptpt_001_enriched_qc,5K,4351,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,бедность || месть || процедура || венедикт || суп || невеста
1341,dama,дама,noun,build:pilot_ptpt_001_enriched_qc,5K,4460,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,дама || кислота || книга судей израилевых || паук || дыра || буря
1620,furacão,буря,noun,build:pilot_ptpt_001_enriched_qc,5K,4481,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,книга судей израилевых || протокол || штраф || окунь || буря || дама
1616,fumaça,дым,noun,build:pilot_ptpt_001_enriched_qc,5K,4818,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,дым || сок || вифлеем || семинар || инновация || oтопление
2478,suco,сок,noun,build:pilot_ptpt_001_enriched_qc,5K,4860,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,достопримечательность || сербия || семинар || сок || инновация || слой
1543,faca,нож,noun,build:pilot_ptpt_001_enriched_qc,5K,4903,1,enriched_qc,100,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|short_correct|noun_short_answer|freq<=5k,6,воин || бутылка || слой || нож || доктрина || беременность
996,atração,достопримечательность,noun,build:pilot_ptpt_001_enriched_qc,5K,4879,1,enriched_qc,65,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|freq<=5k,6,сербия || достопримечательность || семинар || доктрина || слой || сок
1663,gravidez,беременность,noun,build:pilot_ptpt_001_enriched_qc,5K,4916,1,enriched_qc,65,wave_b_enriched_hot,review_pack,enriched_qc|bin:5K|freq<=5k,6,доктрина || профит || бутылка || беременность || нож || воин
