item_id,lemma,bin_name,correct_answer,proposed_distractor_1,proposed_distractor_2,proposed_distractor_3,collision_check_status,semantic_note,confidence,proposal_status,reject_reason
10628,reconhecer,,узнавать,признавать,наблюдать,запоминать,clean,"All three relate to perception/cognition: признавать (to acknowledge), наблюдать (to observe), запоминать (to memorize). Plausible but semantically distinct from узнавать (to recognize).",high,READY,
10647,ferir,,ранить,бить,избивать,повреждать,clean,"All three relate to physical harm: бить (to hit), избивать (to beat), повреждать (to damage). Plausible in same domain but semantically distinct from ранить (to wound with a cutting/penetrating object).",high,READY,
9689,registrar,10K,регистрировать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'registrar' already has an active verb item
9324,interpretar,10K,интерпретировать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'interpretar' already has an active verb item
9322,interessar,10K,интересовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'interessar' already has an active verb item
2627,ver,1K,видеть,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ver' already has an active verb item
2698,ver,1K,видеть,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ver' already has an active verb item
2699,falar,1K,сказать,,,,rejected_by_policy,,n/a,REJECT,dup_ca_and_r1a: CA 'сказать' is both an active correct_answer and active distractor
1572,ficar,1K,оставаться,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ficar' already has an active verb item
2700,ficar,1K,оставаться,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ficar' already has an active verb item
2603,usar,1K,использовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'usar' already has an active verb item
2701,usar,1K,использовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'usar' already has an active verb item
898,ajudar,1K,помочь,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ajudar' already has an active verb item
2702,ajudar,1K,помочь,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ajudar' already has an active verb item
23,comer,1K,есть,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'comer' already has an active verb item
1455,encontrar,1K,найти,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'encontrar' already has an active verb item
2704,encontrar,1K,найти,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'encontrar' already has an active verb item
1242,começar,1K,начать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'começar' already has an active verb item
2705,começar,1K,начать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'começar' already has an active verb item
2095,ouvir,1K,слушать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ouvir' already has an active verb item
2706,ouvir,1K,слышать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ouvir' already has an active verb item
148,trabalhar,1K,работать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'trabalhar' already has an active verb item
2554,trabalhar,1K,работать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'trabalhar' already has an active verb item
2707,trabalhar,1K,работать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'trabalhar' already has an active verb item
2656,viver,1K,жить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'viver' already has an active verb item
2708,viver,1K,жить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'viver' already has an active verb item
2408,seguir,1K,следовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'seguir' already has an active verb item
2709,seguir,1K,следовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'seguir' already has an active verb item
2548,tomar,1K,пить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'tomar' already has an active verb item
2710,tomar,1K,пить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'tomar' already has an active verb item
1249,comprar,1K,покупать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'comprar' already has an active verb item
2711,comprar,1K,покупать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'comprar' already has an active verb item
1848,ler,1K,читать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ler' already has an active verb item
2712,ler,1K,читать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'ler' already has an active verb item
2120,parar,1K,остановить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'parar' already has an active verb item
2713,parar,1K,остановить,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'parar' already has an active verb item
2521,tentar,1K,стараться,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'tentar' already has an active verb item
2714,tentar,1K,стараться,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'tentar' already has an active verb item
2429,sentir,1K,чувствовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'sentir' already has an active verb item
2715,sentir,1K,чувствовать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'sentir' already has an active verb item
1265,conhecer,1K,знать,,,,rejected_by_policy,,n/a,REJECT,dup_ca_and_r1a: CA 'знать' is both an active correct_answer and active distractor; pool duplicate
2716,conhecer,1K,знать,,,,rejected_by_policy,,n/a,REJECT,dup_ca_and_r1a: CA 'знать' is both an active correct_answer and active distractor; pool duplicate
2006,mostrar,1K,показать,,,,dup_lemma_active,Lemma is already present in the active verb bank.,n/a,REJECT,dup_lemma: 'mostrar' already has an active verb item
